created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count
Tue Apr 29 23:16:11 +0000 2025,0,Bang jgn samakan penipu terbesar bangsa &amp; rakyat Indonesia @jokowi kita ga pernah diwakilkan oleh dia &amp; dia pun lg digugat masalah Ijazah Palsu #AdiliJokowi,in,0,0,0
Tue Apr 29 23:15:41 +0000 2025,0,@B4ng_Hans Sebenernya gampang aja jokowi perlihatkan ijazah n skripsinya dites sama2.. Kenpa malah main petak umpet n membiarkan polemik ini makin liat smpai sewa pengacara segala... Ga salah juga kl semuanya pada curiga kl itu palsa,in,0,0,0
Tue Apr 29 23:14:52 +0000 2025,1,@tham878 Lah si @DianSandiU ngaku asli ijazah jokowi yg dia upload kok kau tanya dia lah suruh buktikan,in,1,1,0
Tue Apr 29 23:13:30 +0000 2025,29,@SianiparRismon dan @KRMT_RoySuryo vs Partai Sebar Ijazah (PSI) Ternyata penyataan pakar tentang ilmiahnya ijazah buat ybs ini jawabnya di masa modern akhirnya terkuaklah kebohongan2 baru. Wujud bakti nyata utk menutupi kebohongan oleh orang2an Jokowi di PSI. https://t.co/ole1pzlXh7,in,7,7,12
Tue Apr 29 23:08:44 +0000 2025,0,@alisyarief @JihadDrebond Gus Nur &amp; Bambang tri adalah korban kedholiman si Jokowi yg melalui tangan polisi jaksa dan hakim JANCUK . Rakyat Indonesia sudah ngerti dan paham kalo Ijazah dan skripsi Jokowi itu PALSU. Kalo punya otak jangan seperti Anjing. Dasar NdasMu. JANCUK loe. @jokowi @ListyoSigitP,in,0,0,0
Tue Apr 29 23:07:11 +0000 2025,1,@STresnowati1 UGM punya kewenangan terbitkan ijazah asli kenapa harus terbitkan ijazah palsu ? Siap masuk penjara untuk pembenci Jokowi,in,0,0,1
Tue Apr 29 23:05:04 +0000 2025,0,@OposisiCerdas @msaid_didu Kuasa hukum Molyono Otak TAIK Anjing piaraan Mulyono loe.. Luruskan TAIK Anjing . Rakyat Indonesia sudah ngerti dan paham kalo Ijazah dan skripsi Jokowi yg kalian bela itu PALSU. Kalo punya otak jangan seperti Anjing. Dasar NdasMu. JANCUK loe. @jokowi,in,0,0,0
Tue Apr 29 23:03:12 +0000 2025,1,@AriskaPutraS @Nndraee07 @xquitavee @alisyarief @jokowi @prabowo @UGMYogyakarta Mulyono merasa pendukungnya msh banyak. Dia akan memanfaatkan ontran² dugaan ijazah palsu ini utk menjaga rating nya tetap tinggi sampai bbrp waktu ke depan. Karna sangat blh jd dia berkeyakinan bahwa rating dia adalah rating fufufafa. Wallahu a'lam bishawab,in,0,0,0
Tue Apr 29 23:03:09 +0000 2025,0,@alisyarief Kuasa hukum Molyono Otak TAIK Anjing piaraan Mulyono loe.. Luruskan TAIK Anjing . Rakyat Indonesia sudah ngerti dan paham kalo Ijazah junjungan loe yg engkau bela PALSU. punya Mulut seperti Anjing Menggonggong. Dasar NdasMu. JANCUK loe. @jokowi @prabowo,in,0,0,0
Tue Apr 29 23:02:50 +0000 2025,0,@xquitavee @alisyarief Di kura gentar. .gak ..nanti terlapor bisa nuntut balik pembuktian keaslian dengan menguji segala yg berhubungan dengan ijazah jokowi,in,0,1,0
